Paimon: "If you wanna find the Geo Archon, this is the only chance you'll get all year."
Paimon: "Guess it's a good thingVentibrought it up earlier, otherwise we definitely would've missed this year's Rite of Descension."
Traveller: Do you know when it is?
Paimon: "Uhh... might be today, might also be tomorrow..."
Traveller: Do you know where it is?
Paimon: "Well, Venti brought up the time, but Paimon:... knows nothing about where it is... Ehe."
Paimon: "Look, we're already in Liyue so let's go ask some of the locals."
Paimon: "Oh, right. About the Geo Archon, ""Morax""..."
Paimon: Did you know? TheMorathat we use is named after this god.
Paimon: But it's seen as impolite for people from outside Liyue to refer to the Geo Archon by that name.
Paimon: "So we should refer to the Geo Archon by the name Rex Lapis, like the people of Liyue do."
Linlang,"Rite of Descension... Oh yeah, that reminds me, isn't that today?"
Linlang,"Once a year, Rex Lapis bestows upon us his divine prediction, guiding us on how to run Liyue for the coming year."
Linlang,Last year it was theYuhengof theLiyue Qixingthat was given the honor of asking for the divine prediction.
Traveller: Liyue Qixing?
Traveller: Yuheng?
Paimon: Ooh! Paimon: knows this one!
Paimon: Mondstadt is to freedom as Liyue is to contracts. Liyue has a strong focus on business and trade.
Paimon: The Liyue Qixing — the seven leaders of the seven enterprises of Liyue — hold true control over Liyue
Linlang,That's what outlanders always say.
Linlang,But true control over Liyue will always be held by Rex Lapis.
Linlang,"The Qixing is comprised of mere mortals. Rex Lapis is a god. Mondstadt's god is nowhere to be seen, whilst our god is forever with us."
Linlang,Stay in Liyue long enough and you'll see...
Linlang,"Given that you just left your godless city, it's time you experienced what it's like to be in a city whose god has walked with it through all of history."
Paimon: Great! Then we can start our experience off with the Rite of Descension.
Linlang,Good choice. Then get going. To the high ground.
Linlang,Rex Lapis is like a father who takes care of everything for you.
Linlang,I guess Mondstadters are more like orphans in that sense — no father or mother to look after them... They must get lonely sometimes?
Gentry De'an,"Another year, another Rite of Descension... Good news for some, gloom and doom for others..."
Gentry De'an,Huh... Nothing to do with me.
Guanhai,Oh! Are you also visitors here for the Rite of Descension?
Guanhai,To think I've lived in Liyue all these years and never come to see this before.
Guanhai,I guess it's like they say. Locals never visit the tourist spots.
Guanhai,I wish you well on your travels! Liyue always welcomes you!
Paimon: Thanks! So we wanna know where to go if we wanna see the Rite of Descension?
Guanhai,"Hmm... You're not at all close. Not to mention that if I gave you directions, as outlanders, you'd get lost along the way."
Guanhai,"So better to head to Yujing Terrace, to the high ground."
Guanhai,"It's the highest place in the harbor — sounds like the best place for trying to communicate with deities, no?"
Guanhai,Whatever goes on in the Rite of Descension makes no difference to a commoner like me.
Guanhai,"To be honest, I don't think I can be bothered going this year."
Bolai,"You too wish to bear witness to the Rite of Descension? Me too, we all do!"
Bolai,"As a businessman myself, how could I not take interest in Liyue's most important business trends?"
Bolai,The seventeen predictions given last year made more than a few ripples throughout the industry.
Bolai,"What's more, there has been a rumor going around that the Tianquan herself,Ningguang:  has been acting secretly in the shadows..."
Bolai,She wants the rocks created by Geo Vision holders to be exempt from taxation.
Paimon: Wow... that's some super professional legal stuff that is!
Bolai,Haha. To be on the pulse of the predictions and the market is what makes this harbor what it is.
Bolai,"Among The Seven, Rex Lapis is the oldest deity."
Bolai,His keen sense of strategy is well trusted among his people.
Bolai,Understanding the predictions as soon as possible can make all the difference in making your fortune!
Paimon: F—Fortune! So where can we see this Rite of Descension anyway?
Bolai,"Hmm... You're not at all close. Not to mention that if I gave you directions, as outlanders, you'd get lost along the way."
Bolai,"So better to head to Yujing Terrace, to the high ground."
Bolai,"It's the highest place in the harbor — sounds like the best place for trying to communicate with deities, no?"
Bolai,Wonder if I should continue with the retail business for another year...
Bolai,I should be able to make an informed decision once the results of the Rite of Descension are out...
Fan Er'ye,Today is an important day in Liyue! You should get yourself up to Yujing Terrace and get involved.
Jifang,"My husband's gone to take part, too. Says he wants to bear witness to this year in history..."
Jifang,How come he gets to go and have fun while I have to watch the shop?
Paimon: "Paimon: heard that the best time to make a wish is today, during the Rite of Descension. (Traveler), wanna give it a try?"
Assistant of the Tianquan/Millelith Guard,Halt. Those not involved in the proceedings are not permitted to go any further!
Paimon: Pfft... Killjoy...
Ivanovich,"Your first time in Liyue? Actually, it's my first time to see the Rite of Descension too."
Ivanovich,"Ah, look! That's Ms. Ningguang: of the Liyue Qixing!"
Ivanovich,Only those who have control in Liyue can preside over the Rite of Descension.
Ivanovich,"Oh yeah, not sure if you knew, but most of theadeptiappear in the form of various beasts."
Ivanovich,"I heard that when attending these kinds of formal occasions, Rex Lapis himself appears as a celestial cross between two of Liyue's ancient mythical creatures."
